index,prediction
25000,9.5 centimetre
25001,110 gram
25002,15 centimetre
25003,3.4 ounce
25004,36 centimetre
25005,36 centimetre
25006,1.85 centimetre
25007,17.68 inch
25008,79 centimetre
25009,2 centimetre
25010,38 centimetre
25011,285 gram
25012,17.6 kilogram
25013,3.15 inch
25014,1.4 inch
25015,
25016,15 inch
25017,15 inch
25018,20 gram
25019,33 centimetre
25020,46 millimetre
25021,66.2 inch
25022,11 centimetre
25023,28 centimetre
25024,25 millimetre
25025,215 millimetre
25026,"12.8"""
25027,220 centimetre
25028,80 centimetre
25029,220 centimetre
25030,"47"""
25031,70.9 centimetre
25032,10 centimetre
25033,3.5 centimetre
25034,3.5 centimetre
25035,53.00 millimetre
25036,13.4 inch
25037,13.8 inch
25038,1.8 inch
25039,53 millimetre
25040,1.5 millimetre
25041,710 gram
25042,12 centimetre
25043,8 feet
25044,17 centimetre
25045,17 centimetre
25046,600 watt
25047,120 volt
25048,12 volts
25049,40 kilogram
25050,40 kilogram
25051,400 pounds
25052,2.3 inch
25053,21 centimetre
25054,5 centimetre
25055,"4.3"""
25056,25.5 centimetre
25057,15 centimetre
25058,1.96 centimetre
25059,2.75 centimetre
25060,5.9 inch
25061,3.1 inch
25062,3.1 inch
25063,1.3 kilogram
25064,10 centimetre
25065,16 ounce
25066,16.5 centimetre
25067,"5.55"""
25068,37 centimetre
25069,37 centimetre
25070,68 centimetre
25071,15.8 millimetre
25072,15.8 millimetre
25073,200 gram
25074,2.8 centimetre
25075,1.97 centimetre
25076,
25077,12.5 centimetre
25078,
25079,3.1 inch
25080,12.6 inch
25081,2 inch
25082,2 inch
25083,24 centimetre
25084,14.5 centimetre
25085,23 x 24cm
25086,23 x 24cm
25087,3.7 volts
25088,5 centimetre
25089,67 centimetre
25090,ç´„200g
25091,5 centimetre
25092,50 gram
25093,2.9 pounds
25094,12 centimetre
25095,13 ounce
25096,350 gram
25097,1.85 inch
25098,3.34 inch
25099,1.7 inch
25100,7.8 inch
25101,70 centimetre
25102,
25103,35.4 centimetre
25104,1.3 centimetre
25105,6.2 inch
25106,
25107,195 millimetre
25108,38 millimetre
25109,5.5 inch
25110,2.4 inch
25111,55 millimetre
25112,2.5 inch
25113,10.2 inch
25114,0.65 lb
25115,24 volts
25116,90 watts
25117,
25118,248 millimetre
25119,101 millimetre
25120,14.9 centimetre
25121,14.9 centimetre
25122,18 volts
25123,24 centimetre
25124,24 centimetre
25125,24 centimetre
25126,5 volts
25127,8.5 centimetre
25128,8.5cm 16.9cm
25129,167 gram
25130,110 volts
25131,1800 watts
25132,195 centimetre
25133,8.5 centimetre
25134,150 centimetre
25135,5.7 inch
25136,20 centimetre
25137,14 centimetre
25138,1 centimetre
25139,4.32 inch
25140,4.13 inch
25141,1.5 inch
25142,9 inch
25143,1100 us pounds
25144,1100 watts
25145,1100 us plug
25146,"76,5 centimetre"
25147,3.74 centimetre
